Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Pressure,Temperature
10,810,0.81,SENSOR,1,0,BARO,0,0.0
13,810,0.81,SENSOR,2,0,BARO,0,0.0
16,810,0.81,SENSOR,3,0,BARO,0,0.0
20,820,0.82,SENSOR,1,853,BARO,99448,27.45
23,820,0.82,SENSOR,2,853,BARO,99465,26.31
26,820,0.82,SENSOR,3,863,BARO,99480,26.03
29,830,0.83,SENSOR,1,863,BARO,99448,27.45
32,830,0.83,SENSOR,2,863,BARO,99449,26.32
35,830,0.83,SENSOR,3,873,BARO,99498,26.01
38,840,0.84,SENSOR,1,873,BARO,99426,27.45
41,840,0.84,SENSOR,2,873,BARO,99449,26.32
44,840,0.84,SENSOR,3,883,BARO,99476,26.01
47,850,0.85,SENSOR,1,883,BARO,99426,27.45
50,850,0.85,SENSOR,2,883,BARO,99446,26.31
53,850,0.85,SENSOR,3,893,BARO,99476,26.01
56,860,0.86,SENSOR,1,893,BARO,99426,27.45
59,860,0.86,SENSOR,2,893,BARO,99446,26.31
62,860,0.86,SENSOR,3,903,BARO,99454,26.01
65,870,0.87,SENSOR,1,903,BARO,99448,27.45
68,870,0.87,SENSOR,2,903,BARO,99449,26.32
71,870,0.87,SENSOR,3,913,BARO,99476,26.01
74,880,0.88,SENSOR,1,913,BARO,99426,27.45
77,880,0.88,SENSOR,2,913,BARO,99469,26.32
80,880,0.88,SENSOR,3,923,BARO,99458,26.03
83,890,0.89,SENSOR,1,923,BARO,99426,27.45
86,890,0.89,SENSOR,2,923,BARO,99426,26.31
89,890,0.89,SENSOR,3,933,BARO,99476,26.01
92,900,0.9,SENSOR,1,933,BARO,99426,27.45
95,900,0.9,SENSOR,2,933,BARO,99446,26.31
98,900,0.9,SENSOR,3,943,BARO,99480,26.03
101,910,0.91,SENSOR,1,943,BARO,99426,27.45
104,910,0.91,SENSOR,2,943,BARO,99446,26.31
107,910,0.91,SENSOR,3,953,BARO,99476,26.01
111,920,0.92,SENSOR,1,953,BARO,99426,27.45
114,920,0.92,SENSOR,2,953,BARO,99446,26.31
117,920,0.92,SENSOR,3,963,BARO,99454,26.01
121,930,0.93,SENSOR,1,963,BARO,99404,27.45
124,930,0.93,SENSOR,2,963,BARO,99449,26.32
127,930,0.93,SENSOR,3,973,BARO,99480,26.03
131,940,0.94,SENSOR,1,973,BARO,99426,27.45
134,940,0.94,SENSOR,2,973,BARO,99465,26.31
137,940,0.94,SENSOR,3,983,BARO,99480,26.03
141,950,0.95,SENSOR,1,983,BARO,99426,27.45
144,950,0.95,SENSOR,2,983,BARO,99465,26.31
147,950,0.95,SENSOR,3,993,BARO,99480,26.03
151,960,0.96,SENSOR,1,993,BARO,99426,27.45
154,960,0.96,SENSOR,2,993,BARO,99446,26.31
157,960,0.96,SENSOR,3,1003,BARO,99502,26.03
161,970,0.97,SENSOR,1,1003,BARO,99426,27.45
164,970,0.97,SENSOR,2,1003,BARO,99449,26.32
167,970,0.97,SENSOR,3,1013,BARO,99480,26.03
171,980,0.98,SENSOR,1,1013,BARO,99426,27.45
174,980,0.98,SENSOR,2,1013,BARO,99449,26.32
177,980,0.98,SENSOR,3,1023,BARO,99480,26.03
181,990,0.99,SENSOR,1,1023,BARO,99448,27.45
184,990,0.99,SENSOR,2,1023,BARO,99465,26.31
187,990,0.99,SENSOR,3,1033,BARO,99480,26.03
191,1000,1.0,SENSOR,1,1033,BARO,99448,27.45
194,1000,1.0,SENSOR,2,1033,BARO,99446,26.31
197,1000,1.0,SENSOR,3,1043,BARO,99502,26.03
201,1010,1.01,SENSOR,1,1043,BARO,99448,27.45
204,1010,1.01,SENSOR,2,1043,BARO,99430,26.32
207,1010,1.01,SENSOR,3,1053,BARO,99476,26.01
214,1020,1.02,SENSOR,1,1053,BARO,99404,27.45
217,1020,1.02,SENSOR,2,1053,BARO,99446,26.31
220,1020,1.02,SENSOR,3,1063,BARO,99502,26.03
224,1030,1.03,SENSOR,1,1063,BARO,99426,27.45
227,1030,1.03,SENSOR,2,1063,BARO,99465,26.31
230,1030,1.03,SENSOR,3,1073,BARO,99454,26.01
235,1040,1.04,SENSOR,1,1073,BARO,99426,27.45
238,1040,1.04,SENSOR,2,1073,BARO,99469,26.32
241,1040,1.04,SENSOR,3,1083,BARO,99480,26.03
245,1050,1.05,SENSOR,1,1083,BARO,99426,27.45
248,1050,1.05,SENSOR,2,1083,BARO,99449,26.32
251,1050,1.05,SENSOR,3,1093,BARO,99480,26.03
255,1060,1.06,SENSOR,1,1093,BARO,99426,27.45
258,1060,1.06,SENSOR,2,1093,BARO,99446,26.31
261,1060,1.06,SENSOR,3,1103,BARO,99476,26.01
265,1070,1.07,SENSOR,1,1103,BARO,99426,27.45
268,1070,1.07,SENSOR,2,1103,BARO,99449,26.32
271,1070,1.07,SENSOR,3,1113,BARO,99502,26.03
275,1080,1.08,SENSOR,1,1113,BARO,99444,27.44
278,1080,1.08,SENSOR,2,1113,BARO,99449,26.32
281,1080,1.08,SENSOR,3,1123,BARO,99480,26.03
285,1090,1.09,SENSOR,1,1123,BARO,99448,27.45
288,1090,1.09,SENSOR,2,1123,BARO,99446,26.31
291,1090,1.09,SENSOR,3,1133,BARO,99476,26.01
295,1100,1.1,SENSOR,1,1133,BARO,99426,27.45
298,1100,1.1,SENSOR,2,1133,BARO,99469,26.32
301,1100,1.1,SENSOR,3,1143,BARO,99476,26.01
305,1110,1.11,SENSOR,1,1143,BARO,99426,27.45
308,1110,1.11,SENSOR,2,1143,BARO,99465,26.31
311,1110,1.11,SENSOR,3,1153,BARO,99454,26.01
315,1120,1.12,SENSOR,1,1153,BARO,99422,27.44
318,1120,1.12,SENSOR,2,1153,BARO,99469,26.32
321,1120,1.12,SENSOR,3,1163,BARO,99476,26.01
325,1130,1.13,SENSOR,1,1163,BARO,99448,27.45
328,1130,1.13,SENSOR,2,1163,BARO,99446,26.31
331,1130,1.13,SENSOR,3,1173,BARO,99476,26.01
335,1140,1.14,SENSOR,1,1173,BARO,99426,27.45
338,1140,1.14,SENSOR,2,1173,BARO,99469,26.32
341,1140,1.14,SENSOR,3,1183,BARO,99476,26.01
345,1150,1.15,SENSOR,1,1183,BARO,99426,27.45
348,1150,1.15,SENSOR,2,1183,BARO,99446,26.31
351,1150,1.15,SENSOR,3,1193,BARO,99476,26.01
355,1160,1.16,SENSOR,1,1193,BARO,99426,27.45
358,1160,1.16,SENSOR,2,1193,BARO,99446,26.31
361,1160,1.16,SENSOR,3,1203,BARO,99480,26.03
365,1170,1.17,SENSOR,1,1203,BARO,99426,27.45
368,1170,1.17,SENSOR,2,1203,BARO,99426,26.31
371,1170,1.17,SENSOR,3,1213,BARO,99480,26.03
375,1180,1.18,SENSOR,1,1213,BARO,99448,27.45
378,1180,1.18,SENSOR,2,1223,BARO,99449,26.32
381,1180,1.18,SENSOR,3,1223,BARO,99480,26.03
385,1190,1.19,SENSOR,1,1223,BARO,99426,27.45
388,1190,1.19,SENSOR,2,1233,BARO,99446,26.31
391,1190,1.19,SENSOR,3,1233,BARO,99480,26.03
395,1200,1.2,SENSOR,1,1243,BARO,99426,27.45
398,1200,1.2,SENSOR,2,1243,BARO,99469,26.32
401,1200,1.2,SENSOR,3,1243,BARO,99480,26.03
405,1210,1.21,SENSOR,1,1253,BARO,99444,27.44
408,1210,1.21,SENSOR,2,1253,BARO,99446,26.31
411,1210,1.21,SENSOR,3,1253,BARO,99480,26.03
415,1220,1.22,SENSOR,1,1263,BARO,99448,27.45
418,1220,1.22,SENSOR,2,1263,BARO,99465,26.31
421,1220,1.22,SENSOR,3,1263,BARO,99476,26.01
425,1230,1.23,SENSOR,1,1273,BARO,99426,27.45
428,1230,1.23,SENSOR,2,1273,BARO,99446,26.31
431,1230,1.23,SENSOR,3,1273,BARO,99458,26.03
436,1240,1.24,SENSOR,1,1283,BARO,99426,27.45
439,1240,1.24,SENSOR,2,1283,BARO,99446,26.31
442,1240,1.24,SENSOR,3,1283,BARO,99476,26.01
446,1250,1.25,SENSOR,1,1293,BARO,99426,27.45
449,1250,1.25,SENSOR,2,1293,BARO,99446,26.31
452,1250,1.25,SENSOR,3,1293,BARO,99476,26.01
456,1260,1.26,SENSOR,1,1303,BARO,99426,27.45
459,1260,1.26,SENSOR,2,1303,BARO,99449,26.32
462,1260,1.26,SENSOR,3,1303,BARO,99476,26.01
466,1270,1.27,SENSOR,1,1313,BARO,99426,27.45
469,1270,1.27,SENSOR,2,1313,BARO,99446,26.31
472,1270,1.27,SENSOR,3,1313,BARO,99476,26.01
476,1280,1.28,SENSOR,1,1323,BARO,99426,27.45
479,1280,1.28,SENSOR,2,1323,BARO,99449,26.32
482,1280,1.28,SENSOR,3,1323,BARO,99476,26.01
486,1290,1.29,SENSOR,1,1333,BARO,99422,27.44
489,1290,1.29,SENSOR,2,1333,BARO,99469,26.32
492,1290,1.29,SENSOR,3,1333,BARO,99480,26.03
496,1300,1.3,SENSOR,1,1343,BARO,99426,27.45
499,1300,1.3,SENSOR,2,1343,BARO,99449,26.32
502,1300,1.3,SENSOR,3,1343,BARO,99476,26.01
506,1310,1.31,SENSOR,1,1353,BARO,99426,27.45
509,1310,1.31,SENSOR,2,1353,BARO,99469,26.32
512,1310,1.31,SENSOR,3,1353,BARO,99502,26.03
516,1320,1.32,SENSOR,1,1363,BARO,99426,27.45
519,1320,1.32,SENSOR,2,1363,BARO,99449,26.32
522,1320,1.32,SENSOR,3,1363,BARO,99480,26.03
526,1330,1.33,SENSOR,1,1373,BARO,99426,27.45
529,1330,1.33,SENSOR,2,1373,BARO,99449,26.32
532,1330,1.33,SENSOR,3,1373,BARO,99476,26.01
536,1340,1.34,SENSOR,1,1383,BARO,99426,27.45
539,1340,1.34,SENSOR,2,1383,BARO,99449,26.32
542,1340,1.34,SENSOR,3,1383,BARO,99476,26.01
546,1350,1.35,SENSOR,1,1393,BARO,99426,27.45
549,1350,1.35,SENSOR,2,1393,BARO,99446,26.31
552,1350,1.35,SENSOR,3,1393,BARO,99476,26.01
556,1360,1.36,SENSOR,1,1403,BARO,99426,27.45
559,1360,1.36,SENSOR,2,1403,BARO,99446,26.31
562,1360,1.36,SENSOR,3,1403,BARO,99476,26.01
566,1370,1.37,SENSOR,1,1413,BARO,99426,27.45
569,1370,1.37,SENSOR,2,1413,BARO,99465,26.31
572,1370,1.37,SENSOR,3,1413,BARO,99502,26.03
576,1380,1.38,SENSOR,1,1423,BARO,99422,27.44
579,1380,1.38,SENSOR,2,1423,BARO,99449,26.32
